id,comunidade,municipio,data_inicio,data_fim,quantidade_servidores,diarias_por_servidor,dias_totais,distancia_rodoviaria,distancia_local,distancia_total,tipo_atividade,cadastrante,email_usuario,data_cadastro,orcamento_diarias_valor,orcamento_combustivel,orcamento_total_geral,orcamento_diarias_servidor,orcamento_litros_rodoviario,orcamento_litros_local,orcamento_total_litros,orcamento_combustivel_rodoviario,orcamento_combustivel_local
9,"[""Jaguarana""]","[""Colinas""]",01/09/2026,02/09/2026,2,1.5,2,890.0,70.0,960.0,"[""Reuni\u00e3o Comunit\u00e1ria""]",Michael,,30/08/2026 14:56,1005.0,667.2,1672.2,3.0,89.0,7.0,96.0,618.5500000000001,48.65
8,"[""Santiago""]","[""Mirinzal""]",31/08/2026,01/09/2026,2,1.5,2,250.0,50.0,300.0,"[""Levantamento de Dados""]",Michael,,30/08/2026 14:46,1005.0,208.5,1213.5,3.0,25.0,5.0,30.0,173.75,34.75
7,"[""Malhadalta de Ad\u00e3o""]","[""Nina Rodrigues""]",31/08/2026,02/09/2026,3,2.5,3,380.0,60.0,440.0,"[""Reuni\u00e3o Comunit\u00e1ria"", ""Levantamento de Dados""]",Cosme,,29/08/2026 00:40,2512.5,305.8,2818.3,7.5,38.0,6.0,44.0,264.1,41.7
6,"[""Mocambo/Mirim/Curitiba"", ""S\u00e3o Pedro"", ""Santo Antonio do Coco""]","[""Itapecuru-Mirim"", ""Anajatuba""]",21/09/2026,25/09/2026,2,4.5,5,472.0,200.0,672.0,"[""Entrega de Notifica\u00e7\u00f5es"", ""Visita T\u00e9cnica""]",Rodrigo,,28/08/2026 22:44,3015.0,467.04,3482.04,9.0,47.2,20.0,67.2,328.04,139.0
5,"[""Tanque de Valen\u00e7a"", ""Os Paulos"", ""Pregui\u00e7a Velha""]","[""Matinha""]",14/09/2026,19/09/2026,4,5.5,6,472.0,120.0,592.0,"[""Cadastro de Fam\u00edlias""]",Rodrigo,,28/08/2026 22:23,7370.0,411.44000000000005,7781.4400000000005,22.0,47.2,12.0,59.2,328.04,83.4
4,"[""Malhadalta de Ad\u00e3o""]","[""Nina Rodrigues""]",31/08/2026,05/09/2026,4,5.5,6,352.0,120.0,472.0,"[""Levantamento Fundi\u00e1rio""]",Francisco Elivan,,25/08/2026 08:37,7370.0,328.04,7698.04,22.0,35.2,12.0,47.2,244.64000000000001,83.4
3,"[""Monge Belo"", ""Mata de S\u00e3o Benedito"", ""Piqui/Santa Maria dos Pretos""]","[""Anajatuba"", ""Itapecuru-Mirim""]",09/09/2026,12/09/2026,3,3.5,4,278.0,60.0,338.0,"[""Dilig\u00eancias de Cartoriais""]",Andrea,,25/08/2026 08:30,3517.5,234.91000000000003,3752.41,10.5,27.8,6.0,33.8,193.21,41.7
2,"[""Frechal dos Campos"", ""Vera Cruz""]","[""Mirinzal"", ""Serrano do Maranh\u00e3o""]",06/10/2026,13/10/2026,2,7.5,8,400.0,100.0,500.0,"[""Reuni\u00e3o Comunit\u00e1ria"", ""Entrega de Notifica\u00e7\u00f5es"", ""Outros""]",Umberto,,30/08/2026 15:40,5025.0,347.5,5372.5,15.0,40.0,10.0,50.0,278.0,69.5
1,"[""Estiva dos Cot\u00f3s""]","[""Cachoeira Grande""]",24/08/2026,29/08/2026,3,5.5,6,240.0,100.0,340.0,"[""Cadastro de Fam\u00edlias""]",Michael,,25/08/2026 10:17,5527.5,236.3,5763.8,16.5,24.0,10.0,34.0,166.8,69.5
